index,level_0,country,year,ktoe,indicator
638,547,LVA,2011,1288.414,Natural gas
639,548,MDA,2011,838.048,Natural gas
640,549,MNE,2011,0.0,Natural gas
641,550,MKD,2011,110.297,Natural gas
642,551,MLT,2011,0.0,Natural gas
643,552,NLD,2011,35043.348,Natural gas
644,553,NOR,2011,5059.948,Natural gas
645,554,POL,2011,12836.393,Natural gas
646,555,PRT,2011,4463.65,Natural gas
647,556,ROU,2011,11105.052,Natural gas
648,557,SRB,2011,1902.601,Natural gas
649,558,SWE,2011,1158.641,Natural gas
650,559,SVN,2011,737.618,Natural gas
651,560,SVK,2011,4637.059,Natural gas
652,561,TUR,2011,36788.543,Natural gas
653,562,UKR,2011,46853.138,Natural gas
656,563,ALB,2011,0.0,Heat
657,564,AUT,2011,4.348,Heat
659,565,BEL,2011,217.485,Heat
660,566,BGR,2011,75.418,Heat
661,567,CYP,2011,0.0,Heat
662,568,CZE,2011,1.099,Heat
663,569,DEU,2011,-5.685,Heat
664,570,DNK,2011,3.63,Heat
665,571,EST,2011,0.0,Heat
667,572,ESP,2011,0.0,Heat
669,573,FIN,2011,107.868,Heat
670,574,FRA,2011,0.0,Heat
672,575,HRV,2011,0.0,Heat
673,576,HUN,2011,0.0,Heat
674,577,IRL,2011,0.0,Heat
675,578,ISL,2011,0.0,Heat
676,579,ITA,2011,0.0,Heat
677,580,LTU,2011,288.416,Heat
678,581,LUX,2011,0.0,Heat
679,582,LVA,2011,0.0,Heat
680,583,MDA,2011,0.0,Heat
681,584,MNE,2011,0.0,Heat
682,585,MKD,2011,0.0,Heat
683,586,MLT,2011,0.0,Heat
684,587,NLD,2011,0.0,Heat
685,588,NOR,2011,25.093,Heat
686,589,POL,2011,38.488,Heat
687,590,PRT,2011,1.739,Heat
688,591,ROU,2011,0.0,Heat
689,592,SRB,2011,0.0,Heat
690,593,SWE,2011,0.0,Heat
