index,Date,Country,Temperature
11377,2000-06,CYP,27.0
11378,2000-07,CYP,29.0
11379,2000-08,CYP,28.0
11380,2000-09,CYP,25.0
11381,2000-10,CYP,20.0
11382,2000-11,CYP,17.0
11383,2000-12,CYP,12.0
11384,2001-01,CYP,12.0
11385,2001-02,CYP,12.0
11386,2001-03,CYP,17.0
11387,2001-04,CYP,18.0
11388,2001-05,CYP,22.0
11389,2001-06,CYP,25.0
11390,2001-07,CYP,28.0
11391,2001-08,CYP,28.0
11392,2001-09,CYP,25.0
11393,2001-10,CYP,20.0
11394,2001-11,CYP,15.0
11395,2001-12,CYP,11.0
11396,2002-01,CYP,10.0
11397,2002-02,CYP,13.0
11398,2002-03,CYP,15.0
11399,2002-04,CYP,17.0
11400,2002-05,CYP,21.0
11401,2002-06,CYP,26.0
11402,2002-07,CYP,29.0
11403,2002-08,CYP,28.0
11404,2002-09,CYP,25.0
11405,2002-10,CYP,21.0
11406,2002-11,CYP,17.0
11407,2002-12,CYP,11.0
11408,2003-01,CYP,13.0
11409,2003-02,CYP,10.0
11410,2003-03,CYP,12.0
11411,2003-04,CYP,16.0
11412,2003-05,CYP,23.0
11413,2003-06,CYP,25.0
11414,2003-07,CYP,28.0
11415,2003-08,CYP,28.0
11416,2003-09,CYP,25.0
11417,2003-10,CYP,21.0
11418,2003-11,CYP,16.0
11419,2003-12,CYP,12.0
11420,2004-01,CYP,11.0
11421,2004-02,CYP,12.0
11422,2004-03,CYP,15.0
11423,2004-04,CYP,17.0
11424,2004-05,CYP,21.0
11425,2004-06,CYP,25.0
11426,2004-07,CYP,28.0
11427,2004-08,CYP,27.0
11428,2004-09,CYP,26.0
11429,2004-10,CYP,22.0
11430,2004-11,CYP,16.0
11431,2004-12,CYP,11.0
11432,2005-01,CYP,12.0
11433,2005-02,CYP,11.0
11434,2005-03,CYP,14.0
11435,2005-04,CYP,18.0
11436,2005-05,CYP,21.0
11437,2005-06,CYP,25.0
11438,2005-07,CYP,28.0
11439,2005-08,CYP,28.0
11440,2005-09,CYP,26.0
11441,2005-10,CYP,19.0
11442,2005-11,CYP,15.0
11443,2005-12,CYP,12.0
11444,2006-01,CYP,11.0
11445,2006-02,CYP,12.0
11446,2006-03,CYP,14.0
11447,2006-04,CYP,18.0
11448,2006-05,CYP,21.0
11449,2006-06,CYP,25.0
11450,2006-07,CYP,27.0
11451,2006-08,CYP,28.0
11452,2006-09,CYP,26.0
11453,2006-10,CYP,20.0
11454,2006-11,CYP,14.0
11455,2006-12,CYP,11.0
11456,2007-01,CYP,10.0
11457,2007-02,CYP,11.0
11458,2007-03,CYP,13.0
11459,2007-04,CYP,15.0
11460,2007-05,CYP,21.0
11461,2007-06,CYP,25.0
11462,2007-07,CYP,28.0
11463,2007-08,CYP,28.0
11464,2007-09,CYP,25.0
11465,2007-10,CYP,22.0
11466,2007-11,CYP,16.0
11467,2007-12,CYP,12.0
11468,2008-01,CYP,9.0
11469,2008-02,CYP,10.0
11470,2008-03,CYP,16.0
11471,2008-04,CYP,18.0
11472,2008-05,CYP,20.0
11473,2008-06,CYP,26.0
11474,2008-07,CYP,28.0
11475,2008-08,CYP,28.0
11476,2008-09,CYP,25.0
11477,2008-10,CYP,20.0
11478,2008-11,CYP,17.0
11479,2008-12,CYP,13.0
11480,2009-01,CYP,11.0
11481,2009-02,CYP,11.0
11482,2009-03,CYP,12.0
11483,2009-04,CYP,16.0
11484,2009-05,CYP,20.0
11485,2009-06,CYP,26.0
11486,2009-07,CYP,28.0
11487,2009-08,CYP,27.0
11488,2009-09,CYP,24.0
11489,2009-10,CYP,22.0
11490,2009-11,CYP,16.0
11491,2009-12,CYP,14.0
11492,2010-01,CYP,12.0
11493,2010-02,CYP,12.0
11494,2010-03,CYP,15.0
11495,2010-04,CYP,17.0
11496,2010-05,CYP,21.0
11497,2010-06,CYP,24.0
11498,2010-07,CYP,27.0
11499,2010-08,CYP,29.0
11500,2010-09,CYP,26.0
11501,2010-10,CYP,22.0
11502,2010-11,CYP,19.0
11503,2010-12,CYP,15.0
11504,2011-01,CYP,11.0
11505,2011-02,CYP,11.0
11506,2011-03,CYP,13.0
11507,2011-04,CYP,16.0
11508,2011-05,CYP,20.0
11509,2011-06,CYP,24.0
11510,2011-07,CYP,28.0
11511,2011-08,CYP,28.0
11512,2011-09,CYP,25.0
11513,2011-10,CYP,20.0
11514,2011-11,CYP,14.0
11515,2011-12,CYP,12.0
11516,2012-01,CYP,10.0
11517,2012-02,CYP,10.0
11518,2012-03,CYP,12.0
11519,2012-04,CYP,17.0
11520,2012-05,CYP,21.0
11521,2012-06,CYP,26.0
11522,2012-07,CYP,29.0
11523,2012-08,CYP,29.0
11524,2012-09,CYP,26.0
11525,2012-10,CYP,23.0
11526,2012-11,CYP,19.0
11527,2012-12,CYP,14.0
11528,2013-01,CYP,12.0
11529,2013-02,CYP,13.0
11530,2013-03,CYP,15.0
11531,2013-04,CYP,18.0
11532,2013-05,CYP,23.0
11533,2013-06,CYP,25.0
11534,2013-07,CYP,28.0
11535,2013-08,CYP,29.0
11536,2013-09,CYP,25.0
11537,2013-10,CYP,20.0
11538,2013-11,CYP,19.0
11539,2013-12,CYP,12.0
11540,2014-01,CYP,15.0
11541,2014-02,CYP,14.0
11542,2014-03,CYP,16.0
11543,2014-04,CYP,18.0
11544,2014-05,CYP,21.0
11545,2014-06,CYP,25.0
11546,2014-07,CYP,27.0
11547,2014-08,CYP,28.0
11548,2014-09,CYP,26.0
11549,2014-10,CYP,22.0
11550,2014-11,CYP,18.0
11551,2014-12,CYP,17.0
11552,2015-01,CYP,13.0
11553,2015-02,CYP,13.0
11554,2015-03,CYP,15.0
11555,2015-04,CYP,17.0
11556,2015-05,CYP,21.0
11557,2015-06,CYP,24.0
11558,2015-07,CYP,26.0
11559,2015-08,CYP,29.0
11560,2015-09,CYP,27.0
11561,2015-10,CYP,24.0
11562,2015-11,CYP,20.0
11563,2015-12,CYP,15.0
11564,2016-01,CYP,12.0
11565,2016-02,CYP,15.0
11566,2016-03,CYP,16.0
11567,2016-04,CYP,19.0
11568,2016-05,CYP,21.0
11569,2016-06,CYP,26.0
11570,2016-07,CYP,28.0
11571,2016-08,CYP,28.0
11572,2016-09,CYP,26.0
11573,2016-10,CYP,23.0
11574,2016-11,CYP,19.0
11575,2016-12,CYP,13.0
11576,2017-01,CYP,12.0
11577,2017-02,CYP,12.0
11578,2017-03,CYP,15.0
